Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,MAR,Males,65+,267,9.57,25.96,3.7,41.83,45.47,5.68,4.83,0.228,Africa,Africa,0.43,0.44,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,PAK,Both,35 - 44,1486,0.42,0.96,7.1,18.27,37.16,2.12,10.92,0.226,Asia,Asia,0.28,0.15,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Both,45 - 54,418,0.42,0.96,7.1,18.27,37.16,2.12,10.92,0.226,Asia,Asia,0.28,0.15,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Both,55 - 64,50,0.42,0.96,7.1,18.27,37.16,2.12,10.92,0.226,Asia,Asia,0.28,0.15,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PRY,Both,35 - 44,2417,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,45 - 54,1168,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,55 - 64,302,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,65+,74,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,All,17407,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Females,0 - 14,884,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,15 - 24,4006,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Both,25 - 34,5928,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Females,25 - 34,3780,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,45 - 54,852,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,43804,6,14.76,44400000,1,0,0
2008,PRY,Females,55 - 64,230,4.42,21.15,7.8,20.67,51.93,6.5,12.22,0.494,America,South America,0.37,0.47,0,0,0,0,43804,6,14.76,44400000,1,0,0
